,year,annual_return,max_draw,volatility,sharp,calmar,daily_win_ratio,win_lose_ratio,total_turnover,average_daily_turnover,average_daily_position,minor_average_return
asset20,2013,0.5826197496518075,0.37715586506082704,283808.65158461616,2.0232000720352135e-06,1.5447718135255397,0.12658227848101267,1.4321400329166936,1219.2619932028745,3.386838870007985,0.7147809766148195,2.200040148801458
asset5,2014,0.016468870061736807,0.5145805972731843,256504.83818026466,6.420491004603557e-08,0.03200445207030162,0.14754098360655737,1.0091507291704807,2362.8610310688487,6.527240417317262,0.6030227418792938,1.8392193627318463
asset10,2014,0.016468870061736807,0.5145805972731843,256504.83818026466,6.420491004603557e-08,0.03200445207030162,0.14754098360655737,1.0091507291704807,2362.8610310688487,6.527240417317262,0.6030227418792938,1.8392193627318463
asset20,2014,0.016468870061736807,0.5145805972731843,256504.83818026466,6.420491004603557e-08,0.03200445207030162,0.14754098360655737,1.0091507291704807,2362.8610310688487,6.527240417317262,0.6030227418792938,1.8392193627318463
asset5,2015,-0.3897252768080327,0.9038857858767609,307978.7325248269,-1.2628334311026136e-06,-0.43116650676169527,0.13991769547325103,0.7856511575058065,521.3338912365616,1.4521835410489181,0.19312421095367904,0.6428655241334795
asset10,2015,-0.3897252768080327,0.9038857858767609,307978.7325248269,-1.2628334311026136e-06,-0.43116650676169527,0.13991769547325103,0.7856511575058065,521.3338912365616,1.4521835410489181,0.19312421095367904,0.6428655241334795
asset20,2015,-0.3897252768080327,0.9038857858767609,307978.7325248269,-1.2628334311026136e-06,-0.43116650676169527,0.13991769547325103,0.7856511575058065,521.3338912365616,1.4521835410489181,0.19312421095367904,0.6428655241334795
asset5,2016,-0.5904756507591824,0.8139357601733909,160396.80899560676,-3.6737913994021332e-06,-0.7254573145101706,0.13168724279835392,0.4787601848777731,317.45669099508586,0.8818241416530163,0.2197841724627161,0.643464504920964
asset10,2016,-0.5904756507591824,0.8139357601733909,160396.80899560676,-3.6737913994021332e-06,-0.7254573145101706,0.13168724279835392,0.4787601848777731,317.45669099508586,0.8818241416530163,0.2197841724627161,0.643464504920964
asset20,2016,-0.5904756507591824,0.8139357601733909,160396.80899560676,-3.6737913994021332e-06,-0.7254573145101706,0.13168724279835392,0.4787601848777731,317.45669099508586,0.8818241416530163,0.2197841724627161,0.643464504920964
asset5,2017,-0.05044787531953887,0.3898377116226558,25106.75741433753,-2.005212842047493e-06,-0.12940737598103386,0.11522633744855967,0.9412422317889687,181.49184008997307,0.5055483010862759,0.05758051696222268,0.1771147547065837
asset10,2017,-0.05044787531953887,0.3898377116226558,25106.75741433753,-2.005212842047493e-06,-0.12940737598103386,0.11522633744855967,0.9412422317889687,181.49184008997307,0.5055483010862759,0.05758051696222268,0.1771147547065837
asset20,2017,-0.05044787531953887,0.3898377116226558,25106.75741433753,-2.005212842047493e-06,-0.12940737598103386,0.11522633744855967,0.9412422317889687,181.49184008997307,0.5055483010862759,0.05758051696222268,0.1771147547065837
asset5,2018,0.7247631709124256,0.12822145726498074,36106.773693031726,1.011831892460727e-05,5.652432801591388,0.11290322580645161,2.0127703393380574,30.29069725045627,0.3292467092440899,-0.07087530242262938,-0.27464179688768886
asset10,2018,0.7247631709124256,0.12822145726498074,36106.773693031726,1.011831892460727e-05,5.652432801591388,0.11290322580645161,2.0127703393380574,30.29069725045627,0.3292467092440899,-0.07087530242262938,-0.27464179688768886
asset20,2018,0.7247631709124256,0.12822145726498074,36106.773693031726,1.011831892460727e-05,5.652432801591388,0.11290322580645161,2.0127703393380574,30.29069725045627,0.3292467092440899,-0.07087530242262938,-0.27464179688768886
