tradeDate,tradeDate,signal5,signal10,signal20,date,open,high,low,close,volume,settle,vwap,updatingTime,asset5,transaction5,pnl5,commission5,turnover5,position5,deposit5,asset10,transaction10,pnl10,commission10,turnover10,position10,deposit10,asset20,transaction20,pnl20,commission20,turnover20,position20,deposit20,return,time,cumulative_return
2010-05-26,2010-05-26,0,0,0,2010-05-26,2846.2,2878.8,2817.6,2839.6,326246.0,2829.0,2844.2179312543294,2018-04-16 13:37:11,1073399.93192291,-7155999.546152734,-164.6132302568294,164.61323025681892,8.380764465079444,-8.380764465079444,0.15,1073399.93192291,-7155999.546152734,-164.6132302568294,164.61323025681892,8.380764465079444,-8.380764465079444,0.15,1073399.93192291,-7155999.546152734,-164.6132302568294,164.61323025681892,8.380764465079444,-8.380764465079444,0.15,-0.011736111111111175,2010-05-26,824985.5072463767
2010-05-27,2010-05-27,0,0,0,2010-05-27,2825.0,2909.8,2790.0,2901.4,325500.0,2896.4,2846.1063385560674,2018-04-16 13:37:11,1126935.7691061124,7102697.884154829,53535.837183202384,165.82312774866477,8.380764465079444,0.0,0.15,1126935.7691061124,7102697.884154829,53535.837183202384,165.82312774866477,8.380764465079444,0.0,0.15,1126935.7691061124,7102697.884154829,53535.837183202384,165.82312774866477,8.380764465079444,0.0,0.15,-0.007448527861710287,2010-05-27,818840.5797101449
2010-05-28,2010-05-28,0,0,0,2010-05-28,2930.0,2942.0,2853.0,2865.2,306690.0,2869.8,2895.1378603801886,2018-04-16 13:37:11,1126935.7691061124,0.0,0.0,0.0,0.0,0.0,0.15,1126935.7691061124,0.0,0.0,0.0,0.0,0.0,0.15,1126935.7691061124,0.0,0.0,0.0,0.0,0.0,0.15,0.03716814159292035,2010-05-28,849275.3623188406
2010-05-31,2010-05-31,0,0,0,2010-05-31,2850.0,2898.8,2786.2,2792.0,337678.0,2811.8,2847.2139511605733,2018-04-16 13:37:11,1126935.7691061124,0.0,0.0,0.0,0.0,0.0,0.15,1126935.7691061124,0.0,0.0,0.0,0.0,0.0,0.15,1126935.7691061124,0.0,0.0,0.0,0.0,0.0,0.15,-0.027303754266211604,2010-05-31,826086.9565217391
2010-06-01,2010-06-01,-1,-1,-1,2010-06-01,2780.0,2820.6,2732.0,2762.0,420130.0,2760.6,2773.851231761598,2018-04-16 13:37:11,1126935.7691061124,0.0,0.0,0.0,0.0,0.0,0.15,1126935.7691061124,0.0,0.0,0.0,0.0,0.0,0.15,1126935.7691061124,0.0,0.0,0.0,0.0,0.0,0.15,-0.02456140350877193,2010-06-01,805797.1014492754
2010-06-02,2010-06-02,0,0,0,2010-06-02,2758.0,2781.4,2718.2,2776.4,343923.0,2762.0,2753.0199631894347,2018-04-16 13:37:11,1126762.9722881827,-7511753.148587885,-172.79681792971678,172.79681792960392,9.078744438709071,-9.078744438709071,0.15,1126762.9722881827,-7511753.148587885,-172.79681792971678,172.79681792960392,9.078744438709071,-9.078744438709071,0.15,1126762.9722881827,-7511753.148587885,-172.79681792971678,172.79681792960392,9.078744438709071,-9.078744438709071,0.15,-0.007913669064748202,2010-06-02,799420.2898550725
2010-06-03,2010-06-03,1,1,1,2010-06-03,2799.8,2807.0,2741.0,2748.0,342961.0,2762.8,2778.460415032613,2018-04-16 13:37:11,1014445.0273777597,7625600.603849296,-112317.94491042302,170.19092407583537,9.07874443870907,0.0,0.15,1014445.0273777597,7625600.603849296,-112317.94491042302,170.19092407583537,9.07874443870907,0.0,0.15,1014445.0273777597,7625600.603849296,-112317.94491042302,170.19092407583537,9.07874443870907,0.0,0.15,0.015155910079768013,2010-06-03,811536.231884058
2010-06-04,2010-06-04,0,0,0,2010-06-04,2740.0,2767.8,2722.2,2761.0,324387.0,2755.6,2745.757673396283,2018-04-16 13:37:11,1014289.4791402285,6761929.860934856,-155.5482375312131,155.5482375312565,8.226192044932915,8.226192044932915,0.15,1014289.4791402285,6761929.860934856,-155.5482375312131,155.5482375312565,8.226192044932915,8.226192044932915,0.15,1014289.4791402285,6761929.860934856,-155.5482375312131,155.5482375312565,8.226192044932915,8.226192044932915,0.15,-0.0213586684763198,2010-06-04,794202.8985507247
2010-06-07,2010-06-07,0,0,0,2010-06-07,2700.0,2718.0,2680.0,2706.2,289681.0,2704.8,2700.9799434550423,2018-04-16 13:37:11,915421.9206432364,-6663215.556395662,-98867.5584969921,153.2539577971002,8.226192044932917,0.0,0.15,915421.9206432364,-6663215.556395662,-98867.5584969921,153.2539577971002,8.226192044932917,0.0,0.15,915421.9206432364,-6663215.556395662,-98867.5584969921,153.2539577971002,8.226192044932917,0.0,0.15,-0.014598540145985401,2010-06-07,782608.695652174
2010-06-08,2010-06-08,0,0,0,2010-06-08,2709.8,2726.0,2683.0,2724.4,225087.0,2699.4,2709.6331987187177,2018-04-16 13:37:11,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,0.003629629629629697,2010-06-08,785449.2753623188
2010-06-09,2010-06-09,0,0,0,2010-06-09,2720.4,2808.0,2700.4,2788.8,314559.0,2786.0,2740.820840605419,2018-04-16 13:37:11,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,915421.9206432364,0.0,0.0,0.0,0.0,0.0,0.15,0.00391172780278984,2010-06-09,788521.7391304348
