tradeDate,nextTradeDate,next2TradeDate,IF_contract
20001218,20001219,20001220,IF101
20001219,20001220,20001221,IF101
20001220,20001221,20001222,IF101
20001221,20001222,20001225,IF101
20001222,20001225,20001226,IF101
20001225,20001226,20001227,IF101
20001226,20001227,20001228,IF101
20001227,20001228,20001229,IF101
20001228,20001229,20010102,IF101
20001229,20010102,20010103,IF101
20010102,20010103,20010104,IF0101
20010103,20010104,20010105,IF0101
20010104,20010105,20010108,IF0101
20010105,20010108,20010109,IF0101
20010108,20010109,20010110,IF0101
20010109,20010110,20010111,IF0101
20010110,20010111,20010112,IF0101
20010111,20010112,20010115,IF0101
20010112,20010115,20010116,IF0101
20010115,20010116,20010117,IF0102
20010116,20010117,20010118,IF0102
20010117,20010118,20010119,IF0102
20010118,20010119,20010131,IF0102
20010119,20010131,20010201,IF0102
20010131,20010201,20010202,IF0102
20010201,20010202,20010205,IF0102
20010202,20010205,20010206,IF0102
20010205,20010206,20010207,IF0102
20010206,20010207,20010208,IF0102
20010207,20010208,20010209,IF0102
20010208,20010209,20010212,IF0102
20010209,20010212,20010213,IF0102
20010212,20010213,20010214,IF0102
20010213,20010214,20010215,IF0102
20010214,20010215,20010216,IF0102
20010215,20010216,20010219,IF0103
20010216,20010219,20010220,IF0103
20010219,20010220,20010221,IF0103
20010220,20010221,20010222,IF0103
20010221,20010222,20010223,IF0103
20010222,20010223,20010226,IF0103
20010223,20010226,20010227,IF0103
20010226,20010227,20010228,IF0103
20010227,20010228,20010301,IF0103
20010228,20010301,20010302,IF0103
20010301,20010302,20010305,IF0103
20010302,20010305,20010306,IF0103
20010305,20010306,20010307,IF0103
20010306,20010307,20010308,IF0103
20010307,20010308,20010309,IF0103
20010308,20010309,20010312,IF0103
20010309,20010312,20010313,IF0103
20010312,20010313,20010314,IF0103
20010313,20010314,20010315,IF0103
20010314,20010315,20010316,IF0103
20010315,20010316,20010319,IF0104
20010316,20010319,20010320,IF0104
20010319,20010320,20010321,IF0104
20010320,20010321,20010322,IF0104
20010321,20010322,20010323,IF0104
20010322,20010323,20010326,IF0104
20010323,20010326,20010327,IF0104
20010326,20010327,20010328,IF0104
20010327,20010328,20010329,IF0104
20010328,20010329,20010330,IF0104
20010329,20010330,20010402,IF0104
20010330,20010402,20010403,IF0104
20010402,20010403,20010404,IF0104
20010403,20010404,20010405,IF0104
20010404,20010405,20010406,IF0104
20010405,20010406,20010409,IF0104
20010406,20010409,20010410,IF0104
20010409,20010410,20010411,IF0104
20010410,20010411,20010412,IF0104
20010411,20010412,20010413,IF0104
20010412,20010413,20010416,IF0104
20010413,20010416,20010417,IF0104
20010416,20010417,20010418,IF0105
20010417,20010418,20010419,IF0105
20010418,20010419,20010420,IF0105
20010419,20010420,20010423,IF0105
20010420,20010423,20010424,IF0105
20010423,20010424,20010425,IF0105
20010424,20010425,20010426,IF0105
20010425,20010426,20010427,IF0105
20010426,20010427,20010430,IF0105
20010427,20010430,20010508,IF0105
20010430,20010508,20010509,IF0105
20010508,20010509,20010510,IF0105
20010509,20010510,20010511,IF0105
20010510,20010511,20010514,IF0105
20010511,20010514,20010515,IF0105
20010514,20010515,20010516,IF0105
20010515,20010516,20010517,IF0106
20010516,20010517,20010518,IF0106
20010517,20010518,20010521,IF0106
20010518,20010521,20010522,IF0106
20010521,20010522,20010523,IF0106
20010522,20010523,20010524,IF0106
20010523,20010524,20010525,IF0106
20010524,20010525,20010528,IF0106
20010525,20010528,20010529,IF0106
20010528,20010529,20010530,IF0106
20010529,20010530,20010531,IF0106
20010530,20010531,20010601,IF0106
20010531,20010601,20010604,IF0106
20010601,20010604,20010605,IF0106
20010604,20010605,20010606,IF0106
20010605,20010606,20010607,IF0106
20010606,20010607,20010608,IF0106
20010607,20010608,20010611,IF0106
20010608,20010611,20010612,IF0106
20010611,20010612,20010613,IF0106
20010612,20010613,20010614,IF0106
20010613,20010614,20010615,IF0106
20010614,20010615,20010618,IF0106
20010615,20010618,20010619,IF0107
20010618,20010619,20010620,IF0107
20010619,20010620,20010621,IF0107
20010620,20010621,20010622,IF0107
20010621,20010622,20010625,IF0107
20010622,20010625,20010626,IF0107
20010625,20010626,20010627,IF0107
20010626,20010627,20010628,IF0107
20010627,20010628,20010629,IF0107
20010628,20010629,20010702,IF0107
20010629,20010702,20010703,IF0107
20010702,20010703,20010704,IF0107
20010703,20010704,20010705,IF0107
20010704,20010705,20010706,IF0107
20010705,20010706,20010709,IF0107
20010706,20010709,20010710,IF0107
20010709,20010710,20010711,IF0107
20010710,20010711,20010712,IF0107
20010711,20010712,20010713,IF0107
20010712,20010713,20010716,IF0107
20010713,20010716,20010717,IF0107
20010716,20010717,20010718,IF0108
20010717,20010718,20010719,IF0108
20010718,20010719,20010720,IF0108
20010719,20010720,20010723,IF0108
20010720,20010723,20010724,IF0108
20010723,20010724,20010725,IF0108
20010724,20010725,20010726,IF0108
20010725,20010726,20010727,IF0108
20010726,20010727,20010730,IF0108
20010727,20010730,20010731,IF0108
20010730,20010731,20010801,IF0108
20010731,20010801,20010802,IF0108
20010801,20010802,20010803,IF0108
20010802,20010803,20010806,IF0108
20010803,20010806,20010807,IF0108
20010806,20010807,20010808,IF0108
20010807,20010808,20010809,IF0108
20010808,20010809,20010810,IF0108
20010809,20010810,20010813,IF0108
20010810,20010813,20010814,IF0108
20010813,20010814,20010815,IF0108
20010814,20010815,20010816,IF0108
20010815,20010816,20010817,IF0109
20010816,20010817,20010820,IF0109
20010817,20010820,20010821,IF0109
20010820,20010821,20010822,IF0109
20010821,20010822,20010823,IF0109
20010822,20010823,20010824,IF0109
20010823,20010824,20010827,IF0109
20010824,20010827,20010828,IF0109
20010827,20010828,20010829,IF0109
20010828,20010829,20010830,IF0109
20010829,20010830,20010831,IF0109
20010830,20010831,20010903,IF0109
20010831,20010903,20010904,IF0109
20010903,20010904,20010905,IF0109
20010904,20010905,20010906,IF0109
20010905,20010906,20010907,IF0109
20010906,20010907,20010910,IF0109
20010907,20010910,20010911,IF0109
20010910,20010911,20010912,IF0109
20010911,20010912,20010913,IF0109
20010912,20010913,20010914,IF0109
20010913,20010914,20010917,IF0109
20010914,20010917,20010918,IF0109
20010917,20010918,20010919,IF0110
20010918,20010919,20010920,IF0110
20010919,20010920,20010921,IF0110
20010920,20010921,20010924,IF0110
20010921,20010924,20010925,IF0110
20010924,20010925,20010926,IF0110
20010925,20010926,20010927,IF0110
20010926,20010927,20010928,IF0110
20010927,20010928,20011008,IF0110
20010928,20011008,20011009,IF0110
20011008,20011009,20011010,IF0110
20011009,20011010,20011011,IF0110
20011010,20011011,20011012,IF0110
20011011,20011012,20011015,IF0110
20011012,20011015,20011016,IF0110
20011015,20011016,20011017,IF0111
20011016,20011017,20011018,IF0111
20011017,20011018,20011019,IF0111
20011018,20011019,20011022,IF0111
20011019,20011022,20011023,IF0111
20011022,20011023,20011024,IF0111
20011023,20011024,20011025,IF0111
20011024,20011025,20011026,IF0111
20011025,20011026,20011029,IF0111
20011026,20011029,20011030,IF0111
20011029,20011030,20011031,IF0111
20011030,20011031,20011101,IF0111
20011031,20011101,20011102,IF0111
20011101,20011102,20011105,IF0111
20011102,20011105,20011106,IF0111
20011105,20011106,20011107,IF0111
20011106,20011107,20011108,IF0111
20011107,20011108,20011109,IF0111
20011108,20011109,20011112,IF0111
20011109,20011112,20011113,IF0111
20011112,20011113,20011114,IF0111
20011113,20011114,20011115,IF0111
20011114,20011115,20011116,IF0111
20011115,20011116,20011119,IF0112
20011116,20011119,20011120,IF0112
20011119,20011120,20011121,IF0112
20011120,20011121,20011122,IF0112
20011121,20011122,20011123,IF0112
20011122,20011123,20011126,IF0112
20011123,20011126,20011127,IF0112
20011126,20011127,20011128,IF0112
20011127,20011128,20011129,IF0112
20011128,20011129,20011130,IF0112
20011129,20011130,20011203,IF0112
20011130,20011203,20011204,IF0112
20011203,20011204,20011205,IF0112
20011204,20011205,20011206,IF0112
20011205,20011206,20011207,IF0112
20011206,20011207,20011210,IF0112
20011207,20011210,20011211,IF0112
20011210,20011211,20011212,IF0112
20011211,20011212,20011213,IF0112
20011212,20011213,20011214,IF0112
20011213,20011214,20011217,IF0112
20011214,20011217,20011218,IF0112
20011217,20011218,20011219,IF201
20011218,20011219,20011220,IF201
20011219,20011220,20011221,IF201
20011220,20011221,20011224,IF201
20011221,20011224,20011225,IF201
20011224,20011225,20011226,IF201
20011225,20011226,20011227,IF201
20011226,20011227,20011228,IF201
20011227,20011228,20011229,IF201
20011228,20011229,20011230,IF201
20011229,20011230,20020107,IF201
20011230,20020107,20020108,IF201
20020107,20020108,20020109,IF0201
20020108,20020109,20020110,IF0201
20020109,20020110,20020111,IF0201
